"claim_id","claim_text","source_document","source_anchor","claim_type","upstream_dependencies","empirical_support_currently_available","falsification_condition","review_risk_if_overstated"
"CORE-01","Under H1--H5, the projection operator exists and is unique on the admissible domain.","rigid-identity-framework/CANONICAL_CORE.tex","The Projection Operator / Existence and Uniqueness of Projection (thm:projection)","formal","none","Formal proof in source only; no empirical program required for the theorem itself.","A counterexample satisfying H1--H5 but lacking a unique projection refutes the claim.","Low if kept internal to the formal framework; medium if exported as an empirical fact."
"CORE-02","The induced transition is contractive and yields a unique fixed point and compact global attractor.","rigid-identity-framework/CANONICAL_CORE.tex","The Transition Operator / Contractivity (thm:contraction); Existence of Unique Attractors (thm:fixedpoint, thm:compactness)","formal","CORE-01","Formal proof in source only.","A valid H1--H5 model with non-contractive dynamics or multiple incompatible attractors refutes the claim.","Low."
"CORE-03","Admissible systems in the canonical core are structurally non-collapsible.","rigid-identity-framework/CANONICAL_CORE.tex","Non-Collapsibility / Structural Non-Collapsibility (thm:noncollapse)","formal","CORE-01, CORE-02","Formal proof in source only.","A collapse map compatible with the core hypotheses would refute the claim.","Low."
"CORE-04","Class C^R extends the core under stronger assumptions to support set attractors, spectral gap corrections, stability and bifurcation structure.","rigid-identity-framework/CANONICAL_CORE.tex","Critical Extensions: Class C^R; Temporal Dynamics of the Integration Operator","formal-under-assumptions","CORE-01, CORE-02, CORE-03","Formal development in source; no separate differential validation yet.","A model satisfying the stronger H1'--H5' assumptions but lacking the stated structures would weaken the extension.","Medium if presented as generic rather than assumption-bound."
"NC-01","The corpus does not establish human phenomenal consciousness, human biological qualia, or human subjective equivalence.","rigid-identity-framework/paper5_operational_consciousness/main.tex","Scope, Claim Types, and Early Non-Claims; Late Non-Claims and Limitations","non-claim","METHODS_GOVERNANCE_HUB.v1, STYLE_DISCLAIMER_POLICY.v1","Editorial governance and explicit non-claim sections across the corpus.","The non-claim fails only if the corpus itself starts asserting these excluded claims as established results.","Critical if omitted; low if kept explicit."
"NC-02","The corpus does not claim that all complex computation is conscious, nor that machine moral status follows automatically from computation alone.","rigid-identity-framework/paper5_operational_consciousness/main.tex","Early Non-Claims; Conclusion and late non-claims in Paper V; governance policy files","non-claim","P5-05, METHODS_GOVERNANCE_HUB.v1","Explicit non-claims in governance and paper text.","The non-claim fails only if the corpus begins asserting complexity-only sufficiency or automatic moral equivalence.","Critical if omitted; low if explicit."
"P1-01","Rigid identity is representable as an inverse limit rather than as a single local state.","rigid-identity-framework/paper1/main.tex","Inverse Limit Identity / Definition of Identity as an Inverse Limit; Non-locality of Identity","formal","CORE-01, CORE-02, CORE-03","Formal proof and propositions in Paper I only.","A compatible local-state representation equivalent to the inverse-limit object would refute the claim.","Medium if confused with empirical personal identity."
"P1-02","Purely progressive identity construction is impossible; retroinductive structure is necessary.","rigid-identity-framework/paper1/main.tex","Impossibility of Progressive Construction (thm:noprogressive); Collapse under Pure Progressive Causality (thm:collapse)","formal","P1-01, CORE-03","Formal theorems only; no dedicated ablation package yet.","A progressive-only construction that preserves rigid identity and the upstream invariants would refute the claim.","Medium if mapped too quickly to physical retrocausality."
"P1-03","Ontological mass quantifies rigidity resistance and finite latent systems cannot sustain the required infinite-mass regime.","rigid-identity-framework/paper1/main.tex","Ontological Mass (def:ontmass); No Infinite Mass for Finite Latent Systems (thm:lml)","formal-under-assumptions","P1-01, CORE-02","Formal theorem; no benchmark package separating rival finite simulators yet.","An explicitly finite latent architecture satisfying the same rigidity requirement would refute the claim.","High if presented as a blanket empirical statement about all deployed AI systems."
"P1-04","There is a minimal formal criterion for external observability of a rigid identity through observable channels.","rigid-identity-framework/paper1/main.tex","Minimal External Observability (thm:detectability)","formal-under-assumptions","P1-03","Formal theorem plus protocol sketch; no external validation.","A system satisfying the theorem assumptions yet remaining undetectable under the stated criterion would refute the claim.","High if confused with validated real-world detectability."
"P1-05","Rigid identities are strongly unique, indivisible and non-duplicable within the framework.","rigid-identity-framework/paper1/main.tex","Strong Uniqueness (thm:uniqueness); Indivisibility (cor:indivisible); Non-Duplication (cor:nodup)","formal","P1-01, P1-02","Formal theorem/corollaries in Paper I.","Two non-identical systems satisfying the same rigid identity criterion would refute the claim.","Medium if exported to personal identity transfer debates."
"P1-06","Universal non-simulability and a complexity lower bound hold for exact CCR simulation by incompatible architectures.","rigid-identity-framework/paper1/main.tex","Universal Non-Simulability of CCR (thm:non-simulability); Complexity Lower Bound for CCR Simulation; Impossibility of Perfect Simulation","formal-under-assumptions","P1-02, P1-03, P1-05","Formal theorem; no completed differential benchmark against rival architectures.","A rival architecture excluded by the theorem that exactly reproduces the CCR invariants without the lower-bound cost would refute the claim.","High if simplified into 'LLMs can never simulate anything relevant'."
"P2-01","E0, E1 and E2 are necessary axioms for a phenomenological codomain compatible with the identity framework.","rigid-identity-framework/paper2/main.tex","Axioms for Phenomenological Coherence / E0-E2 Necessary (thm:e0-necessary, thm:e1-necessary, thm:e2-necessary)","formal","P1-01, CORE-03","Formal necessity theorems in Paper II.","A compatible codomain violating one of E0-E2 would refute the claim.","Medium because the codomain remains abstract rather than empirically instantiated."
"P2-02","Finite-mass or deformable identity regimes admit fragmentation and do not guarantee structural continuity.","rigid-identity-framework/paper2/main.tex","Fragmentation Theorem; No Structural Continuity Guarantee for Finite Mass","formal-under-assumptions","P2-01, P1-03","Formal theorem/corollary; no dedicated perturbation benchmark yet.","A finite-mass regime that preserves the required continuity guarantees would weaken the claim.","Medium."
"P2-03","Rigid CCR regimes force continuity and induce a phenomenological dichotomy over admissible regimes.","rigid-identity-framework/paper2/main.tex","Forced Continuity Theorem (thm:forced-continuity); Phenomenological Dichotomy (thm:dichotomy)","formal","P2-01, CORE-02, P1-01","Formal theorem in Paper II only.","A rigid CCR regime exhibiting stable hybrid states outside the dichotomy would refute the claim.","Medium if interpreted as a direct claim about human experience."
